         1801071959 function calls (1801068537 primitive calls) in 425.219 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      311    0.000    0.000    0.000    0.000 function_base.py:455(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
      169    0.000    0.000    0.000    0.000 _weakrefset.py:53(_commit_removals)
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
       18    0.000    0.000    0.000    0.000 _compiler.py:514(_compile_info)
      496    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
  460/382    0.000    0.000    0.000    0.000 typing.py:1443(__hash__)
       78    0.000    0.000    0.000    0.000 std.py:106(release)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
       88    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
      438    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
     1760    0.000    0.000    0.000    0.000 _parser.py:239(__next)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
1132/1054    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
      113    0.000    0.000    0.000    0.000 <frozen _collections_abc>:897(__iter__)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      172    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
      733    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
      460    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       25    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
       37    0.000    0.000    0.000    0.000 _parser.py:97(closegroup)
      381    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
     1716    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       65    0.000    0.000    0.000    0.000 std.py:400(format_interval)
        2    0.000    0.000    0.000    0.000 std.py:1265(close)
      517    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
       46    0.000    0.000    0.000    0.000 std.py:113(__exit__)
       12    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
     1424    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        4    0.000    0.000    0.000    0.000 typing.py:2069(__init__)
     1424    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      544    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      332    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 typing.py:1923(_get_protocol_attrs)
      460    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
     1726    0.000    0.000    0.000    0.000 typing.py:840(<genexpr>)
       66    0.000    0.000    0.000    0.000 utils.py:273(_is_ascii)
      647    0.000    0.000    0.000    0.000 typing.py:1798(_value_and_type_iter)
      884    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      367    0.000    0.000    0.000    0.000 typing.py:164(_type_convert)
      125    0.000    0.000    0.000    0.000 <frozen os>:711(__getitem__)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
